DM_WORK_GROUP,ODATE,REGION,ORDER_TABLE,APPLICATION,NEW_MSG,UNIQUE_ID
WETX,190708,WE,SEBLG409@-SIEBEL018,TX,"Date 190708, LONGRUN jobs are SEBLJ2013ab(Interface_614), TABLE_NAME = SEBLG409@-SIEBEL018, ID=WETX1000175",WETX1000175
APTX,190708,AP,SEBLG407@SDHN5569,TX,"Date 190708, FAILED jobs are SEBLJ5720a(Interface_270), TABLE_NAME = SEBLG407@SDHN5569, ID=APTX1000176",APTX1000176
