ELAPSED_RUNTIME,DELETE_FLAG,AVG_START_TIME,AVG_RUNTIME,TIME_ZONE,PRIORITY,CYCLIC,MAX_RERUN,END_TIME,START_TIME,FROM_TIME,STATUS,STATE,ODATE,MEMNAME,JOB_NAME,ORDER_TABLE,ORDER_ID,JOB_ID,GROUP_NAME,SYSDATE,CTRLM_TABLE_NAME,JOBNAME,SCRIPT_NAME,DESCRIPTION,INTERFACE_NAME,CRITICAL_LONG_RUN_JOBS_FLAG,THRESHOLD_RUN_TIME,CRITICAL_NOT_STARTED_JOBS_FLAG,FROMTIME,THRESHOLD_START_TIME,EXCLUDE_JOBS_FLAG,RESTATMENT_RUN_TIME,RESTATMENT_START_TIME,FISCAL_YEAR_END_RUN_TIME,FISCAL_YEAR_END_START_TIME,ACTUAL_RUN_TIME,RUN_TIME_DIFF,NEW_THRESHOLD_START_TIME,START_TIME_DIFF,LATE_START,FAILED,LONG_RUN,NOT_STARTED,REGION,APPLICATION,JOB_TYPE,DM_WORK_GROUP,LOG_CAPTURED_TIMESTAMP
0,0,,0, ,AA,0,0, ,20190622190000,1900,Ended Not OK,Run (2) ,190622,sebl1014_user_access.bat,SEBLJ1014b,SEBLG408@-SIEBEL014,4c1lv, ,SEBLG408@-SIEBEL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:46
0,0,,0, ,AA,0,0, ,20190623190000,1900,Ended Not OK,Run (2) ,190623,sebl1014_user_access.bat,SEBLJ1014ca,SEBLG410@-SIEBEL012,4c3h3, ,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
0,0,,0, ,AA,0,0, ,20190622190000,1900,Ended Not OK,Run (2) ,190622,sebl1014_user_access.bat,SEBLJ1014ca,SEBLG410@-SIEBEL012,4c1j6, ,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
700,0,135346.0,8, ,AA,0,0,20190623125712,20190623125704, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001a,SEBLG407@-SIEBEL016,4c46c,11072,SEBLG407@-SIEBEL016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
800,0,135356.0,8, ,AA,0,0,20190623125720,20190623125713, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001b,SEBLG407@-SIEBEL016,4c46d,3568,SEBLG407@-SIEBEL016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
100,0,153740.0,1, ,AA,0,0,20190623132727,20190623132726, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ba,SEBLG408@-SIEBEL014,4c3jh,7760,SEBLG408@-SIEBEL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
100,0,153742.0,1, ,AA,0,0,20190623132729,20190623132728, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bb,SEBLG408@-SIEBEL014,4c3ji,9632,SEBLG408@-SIEBEL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
0,0,153743.0,1, ,AA,0,0,20190623132730,20190623132730, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bc,SEBLG408@-SIEBEL014,4c3jj,5788,SEBLG408@-SIEBEL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
0,0,153745.0,1, ,AA,0,0,20190623132732,20190623132731, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bd,SEBLG408@-SIEBEL014,4c3jk,8660,SEBLG408@-SIEBEL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
100,0,220139.0,1, ,AA,0,0,20190623223220,20190623223219, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bef,SEBLG408@-SIEBEL014,4c3k2,7772,SEBLG408@-SIEBEL014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
