ELAPSED_RUNTIME,DELETE_FLAG,AVG_START_TIME,AVG_RUNTIME,TIME_ZONE,PRIORITY,CYCLIC,MAX_RERUN,END_TIME,START_TIME,FROM_TIME,STATUS,STATE,ODATE,MEMNAME,JOB_NAME,ORDER_TABLE,ORDER_ID,JOB_ID,GROUP_NAME
167851,0,131715.0,2635, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5746_optima_prd_denorm.sh,SEBLJ5746a,SEBLG407@SDHN5569,4c423,2532,SEBLG407@SDHN5569
89912,0,250244.0,1520, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5746_optima_prd_denorm.sh,SEBLJ5746b,SEBLG410@SDHN5569,4c3qc,27904,SEBLG410@SDHN5569
189990,0,151041.0,3122, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5746_optima_prd_denorm.sh,SEBLJ5746c,SEBLG408@SDHN5569,4c3m0,28478,SEBLG408@SDHN5569
160461,0,150015.0,2520, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5746_optima_prd_denorm.sh,SEBLJ5746u,SEBLG409@SDHN5569,4c3ny,3889,SEBLG409@SDHN5569
181,0,110000.0,3, ,AA,0,0,2.01906E+13,2.01906E+13,1100,Ended OK,Run (2) ,190623,sebl5749_opt_cos_lock_disc.sh,SEBLJ5749u,SEBLG409@SDHN5569,4c3nz,6839,SEBLG409@SDHN5569
3500,0,110006.0,31, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5750_tfm_cosmos_lock.bat,SEBLJ5750u,SEBLG409@-SIEBEL018,4c3tz,12848,SEBLG409@-SIEBEL018
55899,0,120000.0,919, ,AA,0,0,2.01906E+13,2.01906E+13,1200,Ended OK,Run (2) ,190623,sebl5751_optima_rev_oi_scl.sh,SEBLJ5751a,SEBLG407@SDHN5569,4c424,20584,SEBLG407@SDHN5569
43782,0,120943.0,1350, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5751_optima_rev_oi_scl.sh,SEBLJ5751b,SEBLG407@SDHN5569,4c425,10710,SEBLG407@SDHN5569
12555,0,220302.0,225, ,AA,0,0,2.01906E+13,2.01906E+13,2200,Ended OK,Run (2) ,190623,sebl5751_optima_rev_oi_scl.sh,SEBLJ5751c,SEBLG410@SDHN5569,4c3qd,2262,SEBLG410@SDHN5569
104699,0,161933.0,1629, ,AA,0,0,2.01906E+13,2.01906E+13,1600,Ended OK,Run (2) ,190623,sebl5751_optima_rev_oi_scl.sh,SEBLJ5751e,SEBLG408@SDHN5569,4c3m1,9492,SEBLG408@SDHN5569
30699,0,183258.0,457, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5751_optima_rev_oi_scl.sh,SEBLJ5751ue,SEBLG409@SDHN5569,4c3oo,13101,SEBLG409@SDHN5569
2000,0,120920.0,21, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5752_tfm_sca_rev_oi.bat,SEBLJ5752a,SEBLG407@-SIEBEL016,4c45m,9500,SEBLG407@-SIEBEL016
2400,0,122350.0,25, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5752_tfm_sca_rev_oi.bat,SEBLJ5752b,SEBLG407@-SIEBEL016,4c45n,7568,SEBLG407@-SIEBEL016
2100,0,220527.0,30, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5752_tfm_sca_rev_oi.bat,SEBLJ5752c,SEBLG410@-SIEBEL012,4c3gd,15688,SEBLG410@-SIEBEL012
2300,0,163552.0,30, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5752_tfm_sca_rev_oi.bat,SEBLJ5752e,SEBLG408@-SIEBEL014,4c3iu,5808,SEBLG408@-SIEBEL014
2400,0,180932.0,24, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5752_tfm_sca_rev_oi.bat,SEBLJ5752ue,SEBLG409@-SIEBEL018,4c3vm,10412,SEBLG409@-SIEBEL018
0,0,253000.0,2, ,AA,0,0, , ,130,Wait Condition,,190623,sebl5755_optima_ff_index.sh,SEBLJ5755a,SEBLG407@SDHN5569,4c42e, ,SEBLG407@SDHN5569
24488,0,123906.0,324, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5759_ship_tsp.sh,SEBLJ5759c,SEBLG410@SDHN5569,4c3qe,6284,SEBLG410@SDHN5569
128,0,41533.0,1, ,AA,0,0,2.01906E+13,2.01906E+13,410,Ended OK,Run (2) ,190623,sebl5760_tsp_mass_upd.sh,SEBLJ5760b,SEBLG410@SDHN5569,4c3qf,14836,SEBLG410@SDHN5569
0,0,273000.0,4, ,AA,0,0, , ,330,Wait Condition,,190623,sebl5760_tsp_mass_upd.sh,SEBLJ5760k,SEBLG407@SDHN5569,4c42h, ,SEBLG407@SDHN5569
317,0,124234.0,2, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5762_tsp_error.sh,SEBLJ5762c,SEBLG410@SDHN5569,4c3qg,14329,SEBLG410@SDHN5569
191,0,124231.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5763_tsp_complete_agg.sh,SEBLJ5763b,SEBLG410@SDHN5569,4c3qh,13930,SEBLG410@SDHN5569
528684,0,41543.0,5118, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5764_tfm_autogtin.sh,SEBLJ5764a,SEBLG407@SDHN5569,4c426,15292,SEBLG407@SDHN5569
27346,0,41533.0,728, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5764_tfm_autogtin.sh,SEBLJ5764b,SEBLG410@SDHN5569,4c3qi,14846,SEBLG410@SDHN5569
213290,0,152033.0,5255, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5764_tfm_autogtin.sh,SEBLJ5764c,SEBLG408@SDHN5569,4c3m2,29204,SEBLG408@SDHN5569
423270,0,181640.0,946, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5764_tfm_autogtin.sh,SEBLJ5764u,SEBLG409@SDHN5569,4c3o0,12768,SEBLG409@SDHN5569
15600,0,50702.0,223, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5765_tfm_autogtin_wf.bat,SEBLJ5765a,SEBLG407@-SIEBEL016,4c45o,10848,SEBLG407@-SIEBEL016
17800,0,42302.0,216, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5765_tfm_autogtin_wf.bat,SEBLJ5765b,SEBLG410@-SIEBEL012,4c3ge,12076,SEBLG410@-SIEBEL012
11900,0,161304.0,254, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5765_tfm_autogtin_wf.bat,SEBLJ5765c,SEBLG408@-SIEBEL014,4c3iv,10488,SEBLG408@-SIEBEL014
10400,0,183053.0,156, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl5765_tfm_autogtin_wf.bat,SEBLJ5765u,SEBLG409@-SIEBEL018,4c3u0,4212,SEBLG409@-SIEBEL018
72541,0,73000.0,1234, ,AA,0,0,2.01906E+13,2.01906E+13,730,Ended OK,Run (2) ,190623,sebl5769_tsp_snapshot.sh,SEBLJ5769a,SEBLG407@SDHN5569,4c427,1373,SEBLG407@SDHN5569
1923,0,180000.0,19, ,AA,0,0,2.01906E+13,2.01906E+13,1800,Ended OK,Run (2) ,190623,sebl5769_tsp_snapshot.sh,SEBLJ5769b,SEBLG410@SDHN5569,4c3qj,20218,SEBLG410@SDHN5569
220632,0,120000.0,3930, ,AA,0,0,2.01906E+13,2.01906E+13,1200,Ended OK,Run (2) ,190623,sebl5769_tsp_snapshot.sh,SEBLJ5769c,SEBLG408@SDHN5569,4c3m3,20552,SEBLG408@SDHN5569
82357,0,113000.0,1125, ,AA,0,0,2.01906E+13,2.01906E+13,1130,Ended OK,Run (2) ,190623,sebl5769_tsp_snapshot.sh,SEBLJ5769u,SEBLG409@SDHN5569,4c3o1,28626,SEBLG409@SDHN5569
88404,0,123420.0,1415, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl57_optima_basevolume.sh,SEBLJ57bx,SEBLG410@SDHN5569,4c3py,10007,SEBLG410@SDHN5569
10300,0,192230.0,201, ,AA,0,0,2.01906E+13,2.01906E+13,100,Ended OK,Run (2) ,190623,sebl5900_tfm_wf_accrflg.bat,SEBLJ5900a,SEBLG407@-SIEBEL016,4c45q,4696,SEBLG407@-SIEBEL016
10100,0,192230.0,201, ,AA,0,0,2.01906E+13,2.01906E+13,1900,Ended OK,Run (2) ,190623,sebl5900_tfm_wf_accrflg.bat,SEBLJ5900a,SEBLG407@-SIEBEL016,4c45r,3424,SEBLG407@-SIEBEL016
12100,0,192230.0,201, ,AA,0,0,2.01906E+13,2.01906E+13,1300,Ended OK,Run (2) ,190623,sebl5900_tfm_wf_accrflg.bat,SEBLJ5900a,SEBLG407@-SIEBEL016,4c45p,9008,SEBLG407@-SIEBEL016
5700,0,192230.0,49, ,AA,0,0,2.01906E+13,2.01906E+13,1300,Ended OK,Run (2) ,190623,sebl5900_tfm_wf_accrflg.bat,SEBLJ5900b,SEBLG410@-SIEBEL012,4c3gh,17200,SEBLG410@-SIEBEL012
4200,0,192230.0,49, ,AA,0,0,2.01906E+13,2.01906E+13,100,Ended OK,Run (2) ,190623,sebl5900_tfm_wf_accrflg.bat,SEBLJ5900b,SEBLG410@-SIEBEL012,4c3gf,18656,SEBLG410@-SIEBEL012
