CTRLM_TABLE_NAME,JOB_NAME,SCRIPT_NAME,DESCRIPTION,CRITICAL_LONG_RUN_JOBS_FLAG,THRESHOLD_RUN_TIME,CRITICAL_NOT_STARTED_JOBS_FLAG,FROM_TIME,THRESHOLD_START_TIME,EXCLUDE_JOBS_FLAG,FAIL_FLAG,TEAM_NAME,SNOW_WORK_GROUP,MIR3_WORK_GROUP,REGION,APPLICATION,JOB_TYPE
SEBLG408@ADLN5755,SEBLJ2021cc,sebl2021_weekly_stats.sh,Weekly Gather Stats Unix Job,N,60,N,1700,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ2021cd,sebl2021_weekly_stats.sh,Weekly Gather Stats Unix Job,N,60,N,1800,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ2021ce,sebl2021_weekly_stats.sh,Weekly Gather Stats Unix Job,N,60,N,1800,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ6206a,sebl6206_tfm_table_reorg.sh,Table Reorg Unix Job,Y,180,N,0130,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ7707c,sebl7707_auto_archive.sh,Auto Archival/Disk Space Reduction Unix Job,N,60,N,0730,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ2024b,sebl2024_anapln_accprd_sync.sh,Anaplan Account-Product Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ2026bx,sebl2026_anaplan_fund_sync.sh,Anaplan Funds Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5000bx,sebl5000_ana_rvc_sum_cu.sh,Anaplan Promotion RVC Extract Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5001bx,sebl5001_ana_suff_report.sh,Anaplan Sufficiency Report Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5002bx,sebl5002_ana_ship_sum_cu.sh,Anaplan Promotion Volume Extract Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ3505b,sebl3505_anaplan_pay_ext.sh,Anaplan Promotion Payment Extract Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ3507b,sebl3507_anaplan_sid_ext.sh,Anaplan Promotion Sid Extract Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5006b,sebl5006_anapln_mass_upld.sh,Anaplan Mass Product Plan and Vol Upload Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5007b,sebl5007_anapln_sku_upld.sh,Anaplan New SKU Plan  Upload Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5008b,sebl5008_ana_ship_volume.sh,Anaplan Shipment Vol extract Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5009b,sebl5009_ana_promo_error.sh,Anaplan Promo Error Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5010ba,sebl5010_ana_ship_tot.sh,Anaplan Total Shipment Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5004b,sebl5004_dmy_gtin_del.sh,Del Delete dummy GTIN Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5000bxf,sebl5000_ana_rvc_sum_cu.sh,Anaplan Promotion RVC Extract Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ3505bf,sebl3505_anaplan_pay_ext.sh,Anaplan Promotion Payment Extract Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ2024bf,sebl2024_anapln_accprd_sync.sh,Anaplan Account-Product Unix Job,Y,50,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ2026bxf,sebl2026_anaplan_fund_sync.sh,Anaplan Funds Unix Job,Y,50,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ57cz,sebl57_optima_basevolume.sh,Optima Base Volume Unix Job,Y,70,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
